fare_id,route_id,origin_id,destination_id,contains_id
104,,5,5,
58,,6,5,
138,,7,5,
58,,8,5,
120,,49,5,
96,,10,5,
92,,11,5,
89,,12,5,
86,,13,5,
85,,14,5,
83,,15,5,
81,,16,5,
79,,17,5,
79,,18,5,
79,,19,5,
84,,20,5,
88,,21,5,
93,,22,5,
98,,23,5,
103,,24,5,
108,,25,5,
117,,26,5,
123,,27,5,
103,,28,5,
123,,29,5,
130,,30,5,
121,,31,5,
58,,32,5,
117,,33,5,
110,,34,5,
107,,35,5,
100,,36,5,
94,,37,5,
84,,38,5,
78,,39,5,
71,,40,5,
71,,41,5,
71,,42,5,
71,,43,5,
68,,44,5,
66,,45,5,
61,,46,5,
58,,47,5,
58,,48,5,
58,,5,6,
104,,6,6,
138,,7,6,
58,,8,6,
124,,49,6,
101,,10,6,
97,,11,6,
94,,12,6,
91,,13,6,
90,,14,6,
88,,15,6,
86,,16,6,
84,,17,6,
84,,18,6,
84,,19,6,
89,,20,6,
93,,21,6,
98,,22,6,
102,,23,6,
107,,24,6,
113,,25,6,
121,,26,6,
128,,27,6,
107,,28,6,
127,,29,6,
135,,30,6,
125,,31,6,
58,,32,6,
122,,33,6,
114,,34,6,
112,,35,6,
105,,36,6,
98,,37,6,
88,,38,6,
83,,39,6,
78,,40,6,
78,,41,6,
78,,42,6,
78,,43,6,
75,,44,6,
73,,45,6,
68,,46,6,
66,,47,6,
58,,48,6,
138,,5,7,
138,,6,7,
104,,7,7,
80,,8,7,
208,,49,7,
185,,10,7,
181,,11,7,
178,,12,7,
174,,13,7,
173,,14,7,
172,,15,7,
169,,16,7,
168,,17,7,
168,,18,7,
168,,19,7,
173,,20,7,
176,,21,7,
181,,22,7,
186,,23,7,
191,,24,7,
196,,25,7,
205,,26,7,
211,,27,7,
191,,28,7,
211,,29,7,
218,,30,7,
209,,31,7,
144,,32,7,
205,,33,7,
198,,34,7,
195,,35,7,
189,,36,7,
182,,37,7,
172,,38,7,
166,,39,7,
162,,40,7,
