Route_Num_1,Route_Num_2,Stop_ID,Pattern_ID_1,Pattern_ID_2
25,25,,11025054,20025051,118
26,124,18380,20026028,21124031,118
124,124,619,10124029,21124032,118
43,43,,20043049,11043047,118
24,131,20740,20024088,21131091,118
56,18,15290,10056079,11018477,118
18,21,2210,20018485,21021357,118
15,21,2210,20015989,21021357,118
18,22,2210,20018483,21022086,118
15,22,2210,20015985,21022086,118
23,28,30635,10023016,11028503,118
15,57,2210,20015987,21057014,118
182,187,60634,10182009,21187013,118
66,66,,20066018,11066020,118
4,3,,20004005,21003523,118
3,3,,20003006,21003523,118
51,51,,20051002,11051001,118
70,70,,11070032,20070022,118
14,14,,11014017,20014005,118
4,2,,20004005,21002511,118
13,3,,20013020,21003521,118
2,3,,20002011,21003521,118
132,24,30635,10132361,11024074,118
131,24,30635,10131087,11024074,118
131,24,30635,10131080,11024076,118
75,330,10860,31075145,31330005,118
125,11,15445,10125015,11011030,118
14,12,1085,20014014,21012017,118
82,82,,11082004,20082006,118
331,345,5489,30331014,20345005,118
347,345,23273,20347011,11345006,118
348,345,23273,20348009,11345006,118
49,7,1085,20049009,21007002,118
67,65,9610,20067057,11065066,118
68,31,75406,20068052,31031024,118
182,182,,10182009,21182008,118
187,187,,21187012,10187008,118
187,187,,21187013,10187010,118
222,233,82720,10222065,41233036,118
221,221,,10221026,21221062,118
11,125,1085,20011041,21125023,118
3,4,,10003501,11004017,118
3,3,,10003501,11003013,118
230,253,68002,40230573,41253525,118
203,203,,41203035,30203036,118
230,230,,30230049,31230574,118
43,44,25751,11043043,11044011,118
139,139,,21139008,10139007,118
121,121,190,10121069,21121080,118
236,238,74390,20236060,11238054,118
48,48,,20048007,21048527,118
345,348,17024,20345015,11348008,118
27,17,27430,10027022,11017055,118
56,15,15290,10056079,11015982,118
22,15,15290,10022085,11015983,118
21,18,15290,10021354,11018479,118
18,21,2210,20018485,21021356,118
15,21,2210,20015987,21021357,118
15,21,2210,20015987,21021358,118
15,21,2210,20015985,21021358,118
23,28,30635,10023016,11028510,118
540,540,,30540523,41540521,118
248,248,,30248018,41248030,118
540,540,,41540520,30540524,118
3,3,,21003525,10003501,118
55,55,,21055283,10055001,118
2,2,,20002011,21002511,118
3,4,,20003006,21004511,118
10,12,1085,20010020,21012017,118
82,82,,11082004,20082005,118
48,48,,20048004,21048523,118
4,4,,21004511,10004516,118
75,330,10860,31075145,31330004,118
83,83,,11083004,20083002,118
222,233,82720,10222065,41233037,118
5,55,7430,20005133,21055289,118
11,125,1085,20011041,21125021,118
11,125,1085,20011041,21125022,118
28,23,18380,20028493,21023005,118
68,31,75406,20068051,31031024,118
331,331,,41331023,30331020,118
5,55,7430,20005139,21055289,118
55,55,,10055290,21055291,118
230,230,,40230572,41230045,118
11,125,1085,20011041,21125026,118
13,13,,11013017,20013020,118
3,3,,10003505,11003012,118
204,203,64140,10204013,41203033,118
203,203,,41203031,30203036,118
203,203,,41203033,30203037,118
24,132,20740,20024061,21132363,118
