route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
100095,KCM,204,,Island Crest Wy/S Mercer Shuttle,3,http://metro.kingcounty.gov/tops/bus/schedules/s204_0_.html,,
100110,KCM,219,,Factoria/Newport Hills/Coal Creek Pkwy,3,http://metro.kingcounty.gov/tops/bus/schedules/s219_0_.html,,
100476,KCM,244,,Kenmore Kingsgate Overlake,3,http://metro.kingcounty.gov/tops/bus/schedules/s244_0_.html,,
100448,KCM,248,,Redmond-Kirkland,3,http://metro.kingcounty.gov/tops/bus/schedules/s248_0_.html,,
100157,KCM,266,,Seattle/Redmond,3,http://metro.kingcounty.gov/tops/bus/schedules/s266_0_.html,,
100190,KCM,316,,Meridian Park express,3,http://metro.kingcounty.gov/tops/bus/schedules/s316_0_.html,,
100203,KCM,346,,Aurora Village - NTC,3,http://metro.kingcounty.gov/tops/bus/schedules/s346_0_.html,,
100250,KCM,600,,Group Health Coop - CBD,3,http://metro.kingcounty.gov/tops/bus/schedules/s600_0_.html,,
100232,ST,522,,ST 522 Woodinville-Seattle CBD,3,http://www.soundtransit.org/Riding-Sound-Transit/Schedules-and-Facilities/ST-Express-Bus/522-Weekday.xml,,
100451,ST,556,,Issaquah/UW/NTC,3,http://www.soundtransit.org/Riding-Sound-Transit/Schedules-and-Facilities/ST-Express-Bus/556-Weekday.xml,,
100290,KCM,901,,Federal Way/Dash Point DART,3,http://metro.kingcounty.gov/tops/bus/schedules/s901_0_.html,,
100293,KCM,908,,Renton Highlands DART,3,http://metro.kingcounty.gov/tops/bus/schedules/s908_0_.html,,
100313,KCM,935,,Kenmore/Finn Hill/Kingsgate P&R,3,http://metro.kingcounty.gov/tops/bus/schedules/s935_0_.html,,
100229,KCM,5,,Greenwood/SCC/Northgate,3,http://metro.kingcounty.gov/tops/bus/schedules/s005_0_.html,,
100263,KCM,7,,Route 7,3,http://metro.kingcounty.gov/tops/bus/schedules/s007_0_.html,,
100002,KCM,10,,capitol hill,3,http://metro.kingcounty.gov/tops/bus/schedules/s010_0_.html,,
