stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
25,,BLANCHARD ST & 1ST AVE,,47.6128082,-122.344826,1,,,
60,,1ST AVE & UNION ST,,47.6073265,-122.33876,1,,,
70,,1ST AVE & SENECA ST,,47.6057396,-122.337311,1,,,
130,,1ST AVE S & S JACKSON ST,,47.5995483,-122.334084,1,,,
150,,1ST AVE & YESLER WAY,,47.6022072,-122.334076,1,,,
170,,1ST AVE & MARION ST,,47.6043205,-122.335777,1,,,
180,,1ST AVE & SENECA ST,,47.6060791,-122.337379,1,,,
185,,SENECA ST & 2ND AVE,,47.6066742,-122.336044,1,,,
190,,1ST AVE & UNIVERSITY ST,,47.6071892,-122.338402,1,,,
200,,1ST AVE & PINE ST,,47.6097908,-122.340782,1,,,
220,,1ST AVE & LENORA ST,,47.6120949,-122.344193,1,,,
230,,1ST AVE & BELL ST,,47.6136627,-122.346848,1,,,
250,,2ND AVE & BELL ST,,47.6137047,-122.345245,1,,,
254,,LENORA ST & 6TH AVE,,47.6152916,-122.339577,21,,,
259,,BLANCHARD ST & 4TH AVE,,47.6145287,-122.342598,1,,,
260,,2ND AVE & LENORA ST,,47.6121635,-122.342628,1,,,
280,,2ND AVE & STEWART ST,,47.6107025,-122.340332,1,,,
300,,2ND AVE & PIKE ST,,47.6086464,-122.338448,1,,,
320,,2ND AVE & SENECA ST,,47.6062126,-122.336205,1,,,
340,,2ND AVE & MARION ST,,47.6044693,-122.334618,1,,,
360,,2ND AVE & CHERRY ST,,47.6030235,-122.333298,1,,,
361,,2ND AVE & JAMES ST,,47.6024818,-122.332802,1,,,
380,,2 AVE EXT S & S WASHINGTON ST,,47.6004562,-122.330948,1,,,
390,,2 AVE EXT S & S JACKSON ST,,47.5992661,-122.329849,1,,,
400,,3RD AVE & BELL ST,,47.6144447,-122.344513,1,,,
420,,3RD AVE & VIRGINIA ST,,47.612381,-122.341011,1,,,
430,,3RD AVE & PINE ST,,47.6109695,-122.339043,1,,,
431,,3RD AVE & PIKE ST,,47.609787,-122.337952,1,,,
450,,3RD AVE & UNION ST,,47.6082497,-122.336548,1,,,
455,,UNI ST TUNNEL STA,,47.6072502,-122.335754,1,,,
456,,UNI ST TUNNEL STA,,47.6076126,-122.336082,1,,,
468,,3RD AVE & SENECA ST,,47.6065025,-122.33493,1,,,
480,,3RD AVE & MARION ST,,47.6049919,-122.333565,1,,,
482,,COLUMBIA ST & 2ND AVE,,47.6038055,-122.333839,1,,,
490,,3RD AVE & COLUMBIA ST,,47.6037979,-122.332458,1,,,
500,,3RD AVE & JAMES ST,,47.6022301,-122.331039,1,,,
501,,PIO SQ TUNNEL STA,,47.6021461,-122.33107,1,,,
502,,PIO SQ TUNNEL STA,,47.6026077,-122.33149,1,,,
515,,3RD AVE S & S MAIN ST,,47.6002426,-122.330368,1,,,
531,,3RD AVE & JAMES ST,,47.6026421,-122.331177,1,,,
532,,PIO SQ TUNNEL STA,,47.6031952,-122.331573,1,,,
533,,PIO SQ TUNNEL STA,,47.6025772,-122.331017,1,,,
538,,3RD AVE & COLUMBIA ST,,47.6041908,-122.332588,1,,,
548,,3RD AVE & MADISON ST,,47.605545,-122.333824,1,,,
558,,3RD AVE & SENECA ST,,47.6070518,-122.335205,1,,,
565,,UNI ST TUNNEL STA,,47.6082497,-122.336166,1,,,
566,,UNI ST TUNNEL STA,,47.6077271,-122.335686,1,,,
570,,3RD AVE & UNION ST,,47.6086884,-122.336708,1,,,
578,,3RD AVE & PIKE ST,,47.6102943,-122.338173,1,,,
590,,3RD AVE & PINE ST,,47.6111336,-122.338974,1,,,
600,,3RD AVE & VIRGINIA ST,,47.6126671,-122.341194,1,,,
605,,3RD AVE & BELL ST,,47.6150398,-122.345207,1,,,
619,,4TH AVE S & S JACKSON ST,,47.599556,-122.328979,1,,,
620,,4TH AVE S & S JACKSON ST,,47.5988159,-122.328896,21,,,
621,,INTL DIST TNL STA,,47.5984535,-122.32782,71,,,
622,,INTL DIST TNL STA,,47.5979462,-122.32782,71,,,
623,,INTL DIST TNL STA,,47.5976601,-122.328217,71,,,
624,,INTL DIST TNL STA,,47.598381,-122.328186,71,,,
625,,S WASHINGTON ST & 4TH AVE S,,47.6008072,-122.329048,1,,,
628,,4TH AVE S & S WASHINGTON ST,,47.601223,-122.32888,1,,,
640,,4TH AVE & JAMES ST,,47.6031303,-122.330086,1,,,
648,,4TH AVE & CHERRY ST,,47.6043205,-122.331177,1,,,
660,,4TH AVE & MADISON ST,,47.6060677,-122.332779,1,,,
670,,4TH AVE & SENECA ST,,47.6074982,-122.334076,1,,,
675,,SENECA ST & 5TH AVE,,47.6080666,-122.333092,1,,,
682,,4TH AVE & UNIVERSITY ST,,47.6088219,-122.335289,1,,,
690,,4TH AVE & UNION ST,,47.6098022,-122.336174,1,,,
700,,4TH AVE & PIKE ST,,47.6108131,-122.337105,1,,,
720,,4TH AVE & STEWART ST,,47.6126251,-122.339127,1,,,
730,,4TH AVE & LENORA ST,,47.6140327,-122.341515,1,,,
740,,4TH AVE & BELL ST,,47.6153374,-122.343735,1,,,
760,,5TH AVE & PINE ST,,47.6116714,-122.336601,1,,,
790,,5TH AVE & SENECA ST,,47.608181,-122.333405,1,,,
800,,5TH AVE & SPRING ST,,47.6069641,-122.332298,1,,,
810,,5TH AVE & MARION ST,,47.605835,-122.331261,1,,,
820,,5TH AVE & JEFFERSON ST,,47.6030922,-122.328758,1,,,
840,,5TH AVE S & S JACKSON ST,,47.599884,-122.32756,1,,,
843,,5TH AVE S & S JACKSON ST,,47.5989799,-122.327774,21,,,
860,,5TH AVE & JAMES ST,,47.6035919,-122.328979,1,,,
880,,VIRGINIA ST & 6TH AVE,,47.6143188,-122.33828,1,,,
900,,VIRGINIA ST & 9TH AVE,,47.6165504,-122.335388,21,,,
910,,STEWART ST & YALE AVE,,47.6181145,-122.331345,21,,,
940,,STEWART ST & 9TH AVE,,47.6157036,-122.334457,21,,,
950,,STEWART ST & 7TH AVE,,47.614357,-122.336205,21,,,
970,,STEWART ST & 4TH AVE,,47.612133,-122.339073,1,,,
992,,HOWELL ST & 9TH AVE,,47.6146393,-122.333267,21,,,
1020,,HOWELL ST & YALE AVE,,47.61763,-122.329414,21,,,
1030,,OLIVE WAY & 4TH AVE,,47.6120911,-122.33857,1,,,
1040,,OLIVE WAY & 6TH AVE,,47.6130295,-122.336327,1,,,
1050,,OLIVE WAY & 8TH AVE,,47.6139336,-122.334167,21,,,
1070,,OLIVE WAY & TERRY AVE,,47.6149101,-122.331848,21,,,
1082,,CONV PL TNNL STA,,47.6141167,-122.331726,21,,,
1083,,CONV PL TNNL STA,,47.6142159,-122.331795,21,,,
1084,,CONV PL TNNL STA,,47.6142807,-122.331863,21,,,
1085,,PINE ST & 9TH AVE,,47.6133766,-122.332596,21,,,
1086,,CONV PL TNNL STA,,47.6142807,-122.331902,21,,,
1108,,WESTLAKE TNNL STA,,47.6113968,-122.337502,1,,,
1109,,WESTLAKE TNNL STA,,47.6117249,-122.336708,1,,,
1110,,PINE ST & 5TH AVE,,47.6117706,-122.336449,1,,,
1111,,PINE ST & 3RD AVE,,47.6108475,-122.338554,1,,,
1120,,PINE ST & 4TH AVE,,47.6111069,-122.33802,1,,,
1121,,WESTLAKE TNNL STA,,47.6118011,-122.335823,1,,,
1122,,WESTLAKE TNNL STA,,47.6112862,-122.337067,1,,,
1130,,PINE ST & 2ND AVE,,47.6101685,-122.340279,1,,,
1180,,PIKE ST & 4TH AVE,,47.6101418,-122.336685,1,,,
1190,,PIKE ST & 6TH AVE,,47.6110382,-122.334526,1,,,
1192,,CONV PL TNNL STA,,47.6139412,-122.33152,21,,,
1193,,CONV PL TNNL STA,,47.6137924,-122.331886,21,,,
1209,,CONVENTION PL & UNION ST,,47.6110382,-122.331863,1,,,
1215,,UNION ST & 6TH AVE,,47.6100769,-122.333923,1,,,
1230,,UNION ST & 4TH AVE,,47.6091309,-122.336174,1,,,
1250,,SENECA ST & 4TH AVE,,47.6074295,-122.33461,1,,,
1260,,SENECA ST & 6TH AVE,,47.6087418,-122.331474,1,,,
1270,,SPRING ST & 4TH AVE,,47.6068726,-122.333199,1,,,
1280,,SPRING ST & 6TH AVE,,47.6078148,-122.330948,21,,,
1300,,MADISON ST & 8TH AVE,,47.6080322,-122.328079,21,,,
1310,,YESLER WAY & POST AVE,,47.6016541,-122.334908,1,,,
1315,,YESLER WAY & 1ST AVE S,,47.6016541,-122.333649,1,,,
1340,,YESLER WAY & PREFONTAINE PL S,,47.6016502,-122.329865,1,,,
1350,,YESLER WAY & 6TH AVE S,,47.6016388,-122.325958,1,,,
1360,,YESLER WAY & 6TH AVE,,47.6017876,-122.327393,1,,,
1370,,YESLER WAY & DILLING WAY,,47.6017876,-122.329796,1,,,
1400,,MADISON ST & 5TH AVE,,47.6066437,-122.331779,1,,,
1415,,MADISON ST & 4TH AVE,,47.6059875,-122.333366,1,,,
1420,,MADISON ST & 2ND AVE,,47.6053276,-122.334923,1,,,
1425,,MADISON ST & 1ST AVE,,47.6047859,-122.33622,1,,,
1431,,MADISON ST & WESTERN AVE,,47.604332,-122.337296,1,,,
1450,,S MAIN ST & 2 AVE EXT S,,47.5999718,-122.330574,1,,,
1451,,S MAIN ST & 3RD AVE S,,47.5999718,-122.329826,1,,,
1466,,S JACKSON ST & 2ND AVE S,,47.5991325,-122.331215,21,,,
1471,,S JACKSON ST & 5TH AVE S,,47.5991249,-122.328033,71,,,
1480,,S JACKSON ST & MAYNARD AVE S,,47.5991211,-122.324562,21,,,
1490,,S JACKSON ST & 8TH AVE S,,47.5991173,-122.322037,21,,,
1495,,8TH AVE S & S KING ST,,47.5985146,-122.322548,21,,,
1500,,S JACKSON ST & 8TH AVE S,,47.5992584,-122.322327,1,,,
1510,,S JACKSON ST & MAYNARD AVE S,,47.5992584,-122.32547,1,,,
1530,,S JACKSON ST & 5TH AVE S,,47.5992661,-122.328377,1,,,
1535,,S JACKSON ST & OCCIDENTAL AVE S,,47.5992699,-122.332436,1,,,
1540,,JAMES ST & 5TH AVE,,47.6038132,-122.329102,1,,,
1550,,JAMES ST & 4TH AVE,,47.6031723,-122.330627,1,,,
1560,,JAMES ST & 3RD AVE,,47.6027794,-122.331192,1,,,
1570,,JAMES ST & 5TH AVE,,47.6037827,-122.328789,1,,,
1580,,MARION ST & 2ND AVE,,47.6045341,-122.334084,1,,,
