route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
100479,SUNDAY,15043539,LINK TO SEA-TAC,LOCAL,0,2637658,21599518
100479,SUNDAY,15043548,LINK TO SEATTLE,LOCAL,1,2637658,10599515
100479,SUNDAY,15043433,LINK TO SEATTLE,LOCAL,1,2637659,10599514
100479,SUNDAY,15043549,LINK TO SEATTLE,LOCAL,1,2637659,10599515
100479,SUNDAY,15043551,LINK TO SEA-TAC,LOCAL,0,2637659,21599518
100479,WEEKDAY,15043574,LINK TO SEA-TAC,LOCAL,0,2637660,21599517
100479,WEEKDAY,15043597,LINK TO SEA-TAC,LOCAL,0,2637660,21599517
100479,WEEKDAY,15043664,LINK TO SEA-TAC,LOCAL,0,2637660,21599517
100479,WEEKDAY,15043818,LINK TO SEATTLE,LOCAL,1,2637660,10599515
100479,WEEKDAY,15043833,LINK TO SEATTLE,LOCAL,1,2637660,10599504
100479,WEEKDAY,15043836,LINK TO SEA-TAC,LOCAL,0,2637661,21599518
100479,WEEKDAY,15043834,LINK TO SEATTLE,LOCAL,1,2637662,10599504
100479,WEEKDAY,15043839,LINK TO SEATTLE,LOCAL,1,2637662,10599515
100479,WEEKDAY,15043891,LINK TO SEATTLE,LOCAL,1,2637663,10599504
100479,WEEKDAY,15043683,LINK TO SEA-TAC,LOCAL,0,2637664,21599517
100479,WEEKDAY,15043701,LINK TO SEATTLE,LOCAL,1,2637664,10599514
100479,WEEKDAY,15043846,LINK TO SEA-TAC,LOCAL,0,2637664,21599518
100479,WEEKDAY,15043577,LINK TO SEA-TAC,LOCAL,0,2637665,21599517
100479,WEEKDAY,15043819,LINK TO SEATTLE,LOCAL,1,2637665,10599504
100479,WEEKDAY,15043825,LINK TO SEA-TAC,LOCAL,0,2637666,21599518
100479,WEEKDAY,15043838,LINK TO SEATTLE,LOCAL,1,2637666,10599515
100479,WEEKDAY,15043808,LINK TO SEATTLE,LOCAL,1,2637667,10599514
100479,WEEKDAY,15043820,LINK TO SEATTLE,LOCAL,1,2637667,10599504
100479,WEEKDAY,15043710,LINK TO SEATTLE,LOCAL,1,2637668,10599514
100479,WEEKDAY,15043826,LINK TO SEA-TAC,LOCAL,0,2637668,21599518
100479,SATURDAY,15043204,LINK TO SEA-TAC,LOCAL,0,2637648,21599517
100044,SUNDAY,18157349,CROWN HILL BALLARD,LOCAL,0,2623651,11015984
100044,SUNDAY,18157350,DOWNTOWN SEATTLE BALLARD,LOCAL,1,2623651,20015985
100101,SUNDAY,18157351,DOWNTOWN SEATTLE VIA 35TH AVE SW,LOCAL,1,2623651,10021354
100071,SUNDAY,18157352,NORTH BEACH BALLARD,LOCAL,0,2623651,11018479
100071,SUNDAY,18157353,DOWNTOWN SEATTLE BALLARD,LOCAL,1,2623651,20018483
100101,SUNDAY,18157393,DOWNTOWN SEATTLE VIA 35TH AVE SW,LOCAL,1,2623651,10021355
100071,SUNDAY,18157394,NORTH BEACH BALLARD,LOCAL,0,2623651,11018477
100071,SUNDAY,18157401,DOWNTOWN SEATTLE BALLARD,LOCAL,1,2623651,20018487
100044,SUNDAY,18157441,BLUE RIDGE BALLARD,LOCAL,0,2623651,11015991
100044,SUNDAY,18157442,DOWNTOWN SEATTLE BALLARD,LOCAL,1,2623651,20015986
