stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,zone_id
2,Ridge Av & Wissahickon Dr - FS,40.014852,-75.206885,,30724,
4,Roosevelt Blvd & Broad St - FS,40.018096,-75.148852,,,
5,Roosevelt Blvd & 5th St,40.023512,-75.133435,,,
7,Roosevelt Blvd & Pratt St,40.028691,-75.089418,,,
8,Roosevelt Blvd & Cottman Av,40.04412,-75.054168,,,
9,Roosevelt Blvd & Holme Av,40.058461,-75.044383,,,
10,Roosevelt Blvd & Grant Av,40.081083,-75.028905,,,
11,Comly Rd & Roosevelt Blvd - FS,40.104,-75.000847,,,
12,Decatur Rd & Drummond Rd - MBNS,40.086875,-74.999225,,,
14,Townsend Rd & McNulty Rd,40.107293,-74.977586,,,
16,Caroline Rd & Comly Rd - MBFS,40.099164,-75.001855,,,
17,Comly Rd & Caroline Rd,40.101769,-74.998318,,,
18,Roosevelt Blvd & Byberry Rd - FS,40.106733,-74.999278,,,
19,Roosevelt Blvd & Comly Rd,40.105199,-75.001481,,,
21,Roosevelt Blvd & Solly Av - FS,40.05882,-75.045126,,,
22,Roosevelt Blvd & Cottman Av,40.044648,-75.05465,,,
23,Roosevelt Blvd & Pratt St - FS,40.029083,-75.090216,,,
24,Roosevelt Blvd & Tower Blvd - FS,40.029484,-75.101085,,,
25,Roosevelt Blvd & 5th St,40.024226,-75.132905,,,
28,Wissahickon Transfer Center onsite,40.014754,-75.207027,,30724,
30,Pulaski Av & Pike St ,40.013139,-75.157369,,,
31,17th St & Huntingdon St,39.992983,-75.159761,,,
32,17th St & Girard Av ,39.972054,-75.164293,,,
33,17th St & Spring Garden St ,39.963117,-75.166259,,,
34,17th St & Market St ,39.952901,-75.168521,,,
35,17th St & Pine St ,39.946148,-75.16988,,,
36,17th St & Washington Av ,39.938468,-75.17169,,,
37,17th St & Snyder Av ,39.92497,-75.174572,,,
38,19th St & Moyamensing Av,39.914191,-75.179686,,,
39,20th St & Johnston St ,39.9168,-75.181176,,,
40,20th St & Johnston St ,39.916603,-75.181082,,,
41,16th St & Snyder Av ,39.924644,-75.172826,,,
42,16th St & Washington Av ,39.938098,-75.169968,,,
43,16th St & Pine St ,39.945876,-75.168238,,,
45,16th St & Girard Av,39.971737,-75.162628,,,
46,Huntindon St & 16th St - FS,39.992792,-75.15832,,,
47,17th St & Leigh Av ,39.994391,-75.159341,,,
48,Hunting Park Av & Pulaski Av,40.013917,-75.158004,,,
51,Kensington Av & Allegheny Av ,39.996542,-75.113274,,,
52,Front St & Dauphin St ,39.984906,-75.132359,,,
