route_id,service_id,trip_id,trip_headsign,block_id,direction_id,shape_id
8881,1,2769192,"Trenton Transit Center",6351,0,118849
8881,1,2769193,"Trenton Transit Center",6200,0,118849
8881,1,2769194,"Trenton Transit Center",6201,0,118849
8881,1,2769195,"Trenton Transit Center",6351,0,118849
8881,1,2769196,"Trenton Transit Center",6202,0,118849
8881,1,2769197,"Trenton Transit Center",6352,0,118849
8881,1,2769198,"Trenton Transit Center",6353,0,118849
8881,1,2769199,"Trenton Transit Center",6354,0,118849
8881,1,2769200,"Trenton Transit Center",6352,0,118849
8881,1,2769201,"Trenton Transit Center",6353,0,118849
8881,1,2769202,"Trenton Transit Center",6354,0,118849
8881,1,2769203,"Trenton Transit Center",6352,0,118849
8881,1,2769204,"Trenton Transit Center",6200,0,118849
8881,1,2769205,"Trenton Transit Center",6201,0,118849
8881,1,2769206,"Neshaminy Mall",6354,1,118854
8881,1,2769207,"Neshaminy Mall",6200,1,118854
8881,1,2769208,"Neshaminy Mall",6201,1,118854
8881,1,2769209,"Neshaminy Mall",6351,1,118854
8881,1,2769210,"Neshaminy Mall",6200,1,118854
8881,1,2769211,"Neshaminy Mall",6201,1,118854
8881,1,2769212,"Neshaminy Mall",6351,1,118854
8881,1,2769213,"Neshaminy Mall",6202,1,118854
8881,1,2769214,"Neshaminy Mall",6352,1,118854
8881,1,2769215,"Neshaminy Mall",6353,1,118854
8881,1,2769216,"Neshaminy Mall",6354,1,118854
8881,1,2769217,"Neshaminy Mall",6352,1,118854
8881,1,2769218,"Neshaminy Mall",6353,1,118854
8881,1,2769219,"Neshaminy Mall",6352,1,118854
8882,1,2767256,"Neshaminy Mall",6700,0,118857
8882,1,2767257,"Neshaminy Mall",6700,0,118857
8882,1,2767258,"Neshaminy Mall",6202,0,118857
8882,1,2767259,"Neshaminy Mall",6216,0,118857
8882,1,2767260,"Neshaminy Mall",6216,0,118857
8882,1,2767261,"Neshaminy Mall",6215,0,118857
8882,1,2767262,"Neshaminy Mall",6217,0,118857
8882,1,2767263,"Neshaminy Mall",6216,0,118857
8882,1,2767264,"Neshaminy Mall",6217,0,118857
8882,1,2767265,"Neshaminy Mall",6216,0,118857
8882,1,2767266,"Neshaminy Mall",6202,0,118857
8882,1,2767267,"Oxford Valley Mall",6217,1,118858
8882,1,2767268,"Oxford Valley Mall",6216,1,118858
8882,1,2767269,"Oxford Valley Mall",6215,1,118858
8882,1,2767270,"Oxford Valley Mall",6217,1,118858
8882,1,2767271,"Oxford Valley Mall",6216,1,118858
8882,1,2767272,"Oxford Valley Mall",6217,1,118858
8882,1,2767273,"Oxford Valley Mall",6700,1,118858
8882,1,2767274,"Oxford Valley Mall",6216,1,118858
8882,1,2767275,"Oxford Valley Mall",6202,1,118858
8882,1,2767276,"Oxford Valley Mall",6215,1,118858
8883,1,2767277,"Morrell Park",6231,0,118862
8883,1,2767278,"Morrell Park",6230,0,118862
8883,1,2767279,"Morrell Park",6247,0,118862
8883,1,2767280,"Morrell Park",6245,0,118862
8883,1,2767281,"Morrell Park",6246,0,118862
8883,1,2767282,"Morrell Park",6248,0,118862
8883,1,2767283,"Morrell Park",6232,0,118862
8883,1,2767284,"Morrell Park",6235,0,118862
8883,1,2767285,"Morrell Park",6233,0,118862
8883,1,2767286,"Morrell Park",6234,0,118862
8883,1,2767287,"Morrell Park",6249,0,118862
8883,1,2767288,"Morrell Park",6250,0,118862
8883,1,2767289,"Morrell Park",6230,0,118864
8883,1,2767290,"Morrell Park",6251,0,118862
8883,1,2767291,"Morrell Park",6233,0,118862
8883,1,2767292,"Morrell Park",6355,0,118862
8883,1,2767293,"Morrell Park",6232,0,118862
8883,1,2767294,"Oxford Valley Mall",6235,1,118871
8883,1,2767295,"Oxford Valley Mall",6231,1,118871
8883,1,2767296,"Oxford Valley Mall",6355,1,118871
8883,1,2767297,"Oxford Valley Mall",6230,1,118871
8883,1,2767298,"Oxford Valley Mall",6247,1,118871
8883,1,2767299,"Oxford Valley Mall",6245,1,118871
8883,1,2767300,"Oxford Valley Mall",6246,1,118871
8883,1,2767301,"Oxford Valley Mall",6248,1,118871
8883,1,2767302,"Oxford Valley Mall",6232,1,118871
8883,1,2767303,"Oxford Valley Mall",6231,1,118871
8883,1,2767304,"Oxford Valley Mall",6233,1,118871
8883,1,2767305,"Oxford Valley Mall",6234,1,118871
8883,1,2767306,"Oxford Valley Mall",6249,1,118871
8883,1,2767307,"Oxford Valley Mall",6250,1,118871
8883,1,2767308,"Oxford Valley Mall",6251,1,118871
8883,1,2767309,"Oxford Valley Mall",6233,1,118871
8883,1,2767310,"Oxford Valley Mall",6355,1,118871
8884,1,2767311,"Bucks County Community College",6245,0,118877
8884,1,2767312,"Bucks County Community College",6246,0,118877
8884,1,2767313,"Bucks County Community College",6248,0,118877
8884,1,2767314,"Bucks County Community College",6232,0,118880
8884,1,2767315,"Bucks County Community College",6231,0,118880
8884,1,2767316,"Bucks County Community College",6230,0,118880
8884,1,2767317,"Bucks County Community College",6247,0,118880
8884,1,2767318,"Bucks County Community College",6249,0,118880
8884,1,2767319,"Bucks County Community College",6250,0,118880
8884,1,2767320,"Bucks County Community College",6251,0,118880
8884,1,2767321,"Bucks County Community College",6355,0,118880
8884,1,2767322,"Bucks County Community College",6235,0,118880
8884,1,2767323,"Bucks County Community College",6233,0,118882
8884,1,2767324,"Bucks County Community College",6234,0,118880
8884,1,2767325,"Bucks County Community College",6249,0,118878
8884,1,2767326,"Bucks County Community College",6251,0,118880
8884,1,2767327,"Franklin Mills Mall",6247,1,118889
8884,1,2767328,"Franklin Mills Mall",6245,1,118886
8884,1,2767329,"Franklin Mills Mall",6246,1,118886
8884,1,2767330,"Franklin Mills Mall",6248,1,118886
8884,1,2767331,"Franklin Mills Mall",6232,1,118886
8884,1,2767332,"Franklin Mills Mall",6231,1,118886
8884,1,2767333,"Franklin Mills Mall",6230,1,118886
8884,1,2767334,"Franklin Mills Mall",6247,1,118886
8884,1,2767335,"Franklin Mills Mall",6249,1,118886
8884,1,2767336,"Franklin Mills Mall",6250,1,118886
8884,1,2767337,"Franklin Mills Mall",6251,1,118886
8884,1,2767338,"Franklin Mills Mall",6355,1,118884
8884,1,2767339,"Franklin Mills Mall",6233,1,118892
8884,1,2767340,"Franklin Mills Mall",6235,1,118884
8884,1,2767341,"Franklin Mills Mall",6234,1,118886
8884,1,2767342,"Franklin Mills Mall",6251,1,118886
8885,1,2767343,"Audubon",6260,0,118894
8885,1,2767344,"Audubon",6261,0,118894
8885,1,2767345,"Audubon",6260,0,118894
8885,1,2767346,"Audubon",6261,0,118894
