trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
1500,5:20:00,5:20:00,S_AU_NB,4,King Street Station,0,0
1502,6:01:00,6:01:00,S_AU_NB,4,King Street Station,0,0
1504,6:26:00,6:26:00,S_AU_NB,4,King Street Station,0,0
1506,6:51:00,6:51:00,S_AU_NB,4,King Street Station,0,0
1508,7:16:00,7:16:00,S_AU_NB,4,King Street Station,0,0
1510,7:45:00,7:45:00,S_AU_NB,4,King Street Station,0,0
1512,8:25:00,8:25:00,S_AU_NB,4,King Street Station,0,0
1514,16:50:00,16:50:00,S_AU_NB,4,King Street Station,0,0
1516,17:25:00,17:25:00,S_AU_NB,4,King Street Station,0,0
1501,6:36:00,6:36:00,S_AU_SB,4,Tacoma Dome Station,0,0
1503,7:16:00,7:16:00,S_AU_SB,4,Tacoma Dome Station,0,0
1505,15:41:00,15:41:00,S_AU_SB,4,Tacoma Dome Station,0,0
1507,16:16:00,16:16:00,S_AU_SB,4,Tacoma Dome Station,0,0
1509,16:46:00,16:46:00,S_AU_SB,4,Tacoma Dome Station,0,0
1511,17:11:00,17:11:00,S_AU_SB,4,Tacoma Dome Station,0,0
1513,17:38:00,17:38:00,S_AU_SB,4,Tacoma Dome Station,0,0
1515,18:06:00,18:06:00,S_AU_SB,4,Tacoma Dome Station,0,0
1517,18:41:00,18:41:00,S_AU_SB,4,Tacoma Dome Station,0,0
510,8:07:00,8:07:00,S_ED_NB,2,Everett,0,0
516,19:07:00,19:07:00,S_ED_NB,2,Everett,0,0
1700,16:32:00,16:32:00,S_ED_NB,2,Everett Station,0,0
1702,17:00:00,17:00:00,S_ED_NB,2,Everett Station,0,0
1704,17:32:00,17:32:00,S_ED_NB,2,Everett Station,0,0
1706,18:02:00,18:02:00,S_ED_NB,2,Everett Station,0,0
513,22:21:00,22:21:00,S_ED_SB,2,Seattle,0,0
517,21:24:00,21:24:00,S_ED_SB,2,Seattle,0,0
1701,6:11:00,6:11:00,S_ED_SB,3,King Street Station,0,0
1703,6:41:00,6:41:00,S_ED_SB,3,King Street Station,0,0
1705,7:11:00,7:11:00,S_ED_SB,3,King Street Station,0,0
1707,7:41:00,7:41:00,S_ED_SB,3,King Street Station,0,0
510,8:31:00,8:31:00,S_EV_NB,3,Everett,0,0
516,19:31:00,19:31:00,S_EV_NB,3,Everett,0,0
1700,17:04:00,17:04:00,S_EV_NB,4,Everett Station,0,0
1702,17:32:00,17:32:00,S_EV_NB,4,Everett Station,0,0
1704,18:04:00,18:04:00,S_EV_NB,4,Everett Station,0,0
1706,18:34:00,18:34:00,S_EV_NB,4,Everett Station,0,0
513,21:15:00,21:15:00,S_EV_SB,1,Seattle,0,0
517,20:59:00,20:59:00,S_EV_SB,1,Seattle,0,0
1701,5:45:00,5:45:00,S_EV_SB,1,King Street Station,0,0
1703,6:15:00,6:15:00,S_EV_SB,1,King Street Station,0,0
1705,6:45:00,6:45:00,S_EV_SB,1,King Street Station,0,0
1707,7:15:00,7:15:00,S_EV_SB,1,King Street Station,0,0
1500,5:27:00,5:27:00,S_KE_NB,5,King Street Station,0,0
1502,6:09:00,6:09:00,S_KE_NB,5,King Street Station,0,0
1504,6:34:00,6:34:00,S_KE_NB,5,King Street Station,0,0
1506,6:59:00,6:59:00,S_KE_NB,5,King Street Station,0,0
1508,7:24:00,7:24:00,S_KE_NB,5,King Street Station,0,0
1510,7:52:00,7:52:00,S_KE_NB,5,King Street Station,0,0
1512,8:32:00,8:32:00,S_KE_NB,5,King Street Station,0,0
1514,16:57:00,16:57:00,S_KE_NB,5,King Street Station,0,0
1516,17:32:00,17:32:00,S_KE_NB,5,King Street Station,0,0
1501,6:29:00,6:29:00,S_KE_SB,3,Tacoma Dome Station,0,0
1503,7:09:00,7:09:00,S_KE_SB,3,Tacoma Dome Station,0,0
1505,15:34:00,15:34:00,S_KE_SB,3,Tacoma Dome Station,0,0
1507,16:09:00,16:09:00,S_KE_SB,3,Tacoma Dome Station,0,0
1509,16:39:00,16:39:00,S_KE_SB,3,Tacoma Dome Station,0,0
1511,17:04:00,17:04:00,S_KE_SB,3,Tacoma Dome Station,0,0
1513,17:31:00,17:31:00,S_KE_SB,3,Tacoma Dome Station,0,0
1515,17:59:00,17:59:00,S_KE_SB,3,Tacoma Dome Station,0,0
1517,18:34:00,18:34:00,S_KE_SB,3,Tacoma Dome Station,0,0
510,7:40:00,7:40:00,S_KS_NB,1,Everett,0,0
516,18:40:00,18:40:00,S_KS_NB,1,Everett,0,0
1500,5:54:00,5:54:00,S_KS_NB,7,King Street Station,0,0
1502,6:34:00,6:34:00,S_KS_NB,7,King Street Station,0,0
1504,6:59:00,6:59:00,S_KS_NB,7,King Street Station,0,0
1506,7:24:00,7:24:00,S_KS_NB,7,King Street Station,0,0
1508,7:49:00,7:49:00,S_KS_NB,7,King Street Station,0,0
1510,8:19:00,8:19:00,S_KS_NB,7,King Street Station,0,0
1512,8:59:00,8:59:00,S_KS_NB,7,King Street Station,0,0
1514,17:23:00,17:23:00,S_KS_NB,7,King Street Station,0,0
1516,17:58:00,17:58:00,S_KS_NB,7,King Street Station,0,0
1700,16:05:00,16:05:00,S_KS_NB,1,Everett Station,0,0
1702,16:33:00,16:33:00,S_KS_NB,1,Everett Station,0,0
1704,17:05:00,17:05:00,S_KS_NB,1,Everett Station,0,0
1706,17:35:00,17:35:00,S_KS_NB,1,Everett Station,0,0
513,22:55:00,22:55:00,S_KS_SB,3,Seattle,0,0
517,22:10:00,22:10:00,S_KS_SB,3,Seattle,0,0
1501,6:10:00,6:10:00,S_KS_SB,1,Tacoma Dome Station,0,0
1503,6:50:00,6:50:00,S_KS_SB,1,Tacoma Dome Station,0,0
1505,15:15:00,15:15:00,S_KS_SB,1,Tacoma Dome Station,0,0
1507,15:50:00,15:50:00,S_KS_SB,1,Tacoma Dome Station,0,0
1509,16:20:00,16:20:00,S_KS_SB,1,Tacoma Dome Station,0,0
1511,16:45:00,16:45:00,S_KS_SB,1,Tacoma Dome Station,0,0
1513,17:12:00,17:12:00,S_KS_SB,1,Tacoma Dome Station,0,0
1515,17:40:00,17:40:00,S_KS_SB,1,Tacoma Dome Station,0,0
1517,18:15:00,18:15:00,S_KS_SB,1,Tacoma Dome Station,0,0
1701,6:44:00,6:44:00,S_KS_SB,4,King Street Station,0,0
1703,7:14:00,7:14:00,S_KS_SB,4,King Street Station,0,0
1705,7:44:00,7:44:00,S_KS_SB,4,King Street Station,0,0
1707,8:14:00,8:14:00,S_KS_SB,4,King Street Station,0,0
1700,16:47:00,16:47:00,S_MU_NB,3,Everett Station,0,0
1702,17:15:00,17:15:00,S_MU_NB,3,Everett Station,0,0
1704,17:47:00,17:47:00,S_MU_NB,3,Everett Station,0,0
1706,18:17:00,18:17:00,S_MU_NB,3,Everett Station,0,0
1701,5:56:00,5:56:00,S_MU_SB,2,King Street Station,0,0
1703,6:26:00,6:26:00,S_MU_SB,2,King Street Station,0,0
1705,6:56:00,6:56:00,S_MU_SB,2,King Street Station,0,0
1707,7:26:00,7:26:00,S_MU_SB,2,King Street Station,0,0
1500,5:07:00,5:07:00,S_PU_NB,2,King Street Station,0,0
1502,5:47:00,5:47:00,S_PU_NB,2,King Street Station,0,0
1504,6:12:00,6:12:00,S_PU_NB,2,King Street Station,0,0
1506,6:37:00,6:37:00,S_PU_NB,2,King Street Station,0,0
1508,7:02:00,7:02:00,S_PU_NB,2,King Street Station,0,0
1510,7:32:00,7:32:00,S_PU_NB,2,King Street Station,0,0
1512,8:12:00,8:12:00,S_PU_NB,2,King Street Station,0,0
1514,16:37:00,16:37:00,S_PU_NB,2,King Street Station,0,0
1516,17:12:00,17:12:00,S_PU_NB,2,King Street Station,0,0
1501,6:49:00,6:49:00,S_PU_SB,6,Tacoma Dome Station,0,0
1503,7:29:00,7:29:00,S_PU_SB,6,Tacoma Dome Station,0,0
1505,15:54:00,15:54:00,S_PU_SB,6,Tacoma Dome Station,0,0
1507,16:29:00,16:29:00,S_PU_SB,6,Tacoma Dome Station,0,0
1509,17:00:00,17:00:00,S_PU_SB,6,Tacoma Dome Station,0,0
1511,17:25:00,17:25:00,S_PU_SB,6,Tacoma Dome Station,0,0
1513,17:52:00,17:52:00,S_PU_SB,6,Tacoma Dome Station,0,0
1515,18:20:00,18:20:00,S_PU_SB,6,Tacoma Dome Station,0,0
1517,18:54:00,18:54:00,S_PU_SB,6,Tacoma Dome Station,0,0
1500,5:12:00,5:12:00,S_SU_NB,3,King Street Station,0,0
1502,5:52:00,5:52:00,S_SU_NB,3,King Street Station,0,0
1504,6:17:00,6:17:00,S_SU_NB,3,King Street Station,0,0
1506,6:42:00,6:42:00,S_SU_NB,3,King Street Station,0,0
1508,7:07:00,7:07:00,S_SU_NB,3,King Street Station,0,0
1510,7:37:00,7:37:00,S_SU_NB,3,King Street Station,0,0
1512,8:17:00,8:17:00,S_SU_NB,3,King Street Station,0,0
1514,16:42:00,16:42:00,S_SU_NB,3,King Street Station,0,0
1516,17:17:00,17:17:00,S_SU_NB,3,King Street Station,0,0
1501,6:45:00,6:45:00,S_SU_SB,5,Tacoma Dome Station,0,0
1503,7:25:00,7:25:00,S_SU_SB,5,Tacoma Dome Station,0,0
1505,15:50:00,15:50:00,S_SU_SB,5,Tacoma Dome Station,0,0
1507,16:25:00,16:25:00,S_SU_SB,5,Tacoma Dome Station,0,0
1509,16:56:00,16:56:00,S_SU_SB,5,Tacoma Dome Station,0,0
1511,17:21:00,17:21:00,S_SU_SB,5,Tacoma Dome Station,0,0
1513,17:48:00,17:48:00,S_SU_SB,5,Tacoma Dome Station,0,0
1515,18:16:00,18:16:00,S_SU_SB,5,Tacoma Dome Station,0,0
1517,18:50:00,18:50:00,S_SU_SB,5,Tacoma Dome Station,0,0
1500,4:55:00,4:55:00,S_TD_NB,1,King Street Station,0,0
1502,5:35:00,5:35:00,S_TD_NB,1,King Street Station,0,0
1504,6:00:00,6:00:00,S_TD_NB,1,King Street Station,0,0
1506,6:25:00,6:25:00,S_TD_NB,1,King Street Station,0,0
1508,6:50:00,6:50:00,S_TD_NB,1,King Street Station,0,0
1510,7:20:00,7:20:00,S_TD_NB,1,King Street Station,0,0
1512,8:00:00,8:00:00,S_TD_NB,1,King Street Station,0,0
1514,16:25:00,16:25:00,S_TD_NB,1,King Street Station,0,0
1516,17:00:00,17:00:00,S_TD_NB,1,King Street Station,0,0
1501,7:08:00,7:08:00,S_TD_SB,7,Tacoma Dome Station,0,0
1503,7:48:00,7:48:00,S_TD_SB,7,Tacoma Dome Station,0,0
1505,16:14:00,16:14:00,S_TD_SB,7,Tacoma Dome Station,0,0
1507,16:49:00,16:49:00,S_TD_SB,7,Tacoma Dome Station,0,0
1509,17:19:00,17:19:00,S_TD_SB,7,Tacoma Dome Station,0,0
1511,17:44:00,17:44:00,S_TD_SB,7,Tacoma Dome Station,0,0
1513,18:11:00,18:11:00,S_TD_SB,7,Tacoma Dome Station,0,0
1515,18:39:00,18:39:00,S_TD_SB,7,Tacoma Dome Station,0,0
1517,19:14:00,19:14:00,S_TD_SB,7,Tacoma Dome Station,0,0
1500,5:34:00,5:34:00,S_TK_NB,6,King Street Station,0,0
1502,6:16:00,6:16:00,S_TK_NB,6,King Street Station,0,0
1504,6:41:00,6:41:00,S_TK_NB,6,King Street Station,0,0
1506,7:06:00,7:06:00,S_TK_NB,6,King Street Station,0,0
1508,7:31:00,7:31:00,S_TK_NB,6,King Street Station,0,0
1510,7:59:00,7:59:00,S_TK_NB,6,King Street Station,0,0
1512,8:39:00,8:39:00,S_TK_NB,6,King Street Station,0,0
1514,17:04:00,17:04:00,S_TK_NB,6,King Street Station,0,0
1516,17:39:00,17:39:00,S_TK_NB,6,King Street Station,0,0
1501,6:22:00,6:22:00,S_TK_SB,2,Tacoma Dome Station,0,0
1503,7:02:00,7:02:00,S_TK_SB,2,Tacoma Dome Station,0,0
1505,15:27:00,15:27:00,S_TK_SB,2,Tacoma Dome Station,0,0
1507,16:02:00,16:02:00,S_TK_SB,2,Tacoma Dome Station,0,0
1509,16:32:00,16:32:00,S_TK_SB,2,Tacoma Dome Station,0,0
1511,16:57:00,16:57:00,S_TK_SB,2,Tacoma Dome Station,0,0
1513,17:24:00,17:24:00,S_TK_SB,2,Tacoma Dome Station,0,0
1515,17:52:00,17:52:00,S_TK_SB,2,Tacoma Dome Station,0,0
1517,18:27:00,18:27:00,S_TK_SB,2,Tacoma Dome Station,0,0
TLNBSA,7:54:00,7:54:00,TL_TD_NB,1,Theater District Station,0,0
TLNBSA,7:56:00,7:56:00,TL_25_NB,2,Theater District Station,0,0
TLNBSA,7:58:00,7:58:00,TL_US_NB,3,Theater District Station,0,0
TLNBSA,8:00:00,8:00:00,TL_CC_NB,4,Theater District Station,0,0
TLNBSA,8:02:00,8:02:00,TL_THD_NB,5,Theater District Station,0,0
TLSBSA,7:54:00,7:54:00,TL_THD_SB,1,Tacoma Dome Station,0,0
