route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
SNDR_S_NB,WD,1500,King Street Station,1,SNDR_S_NB_shp
SNDR_S_NB,WD,1502,King Street Station,1,SNDR_S_NB_shp
SNDR_S_NB,WD,1504,King Street Station,1,SNDR_S_NB_shp
SNDR_S_NB,WD,1506,King Street Station,1,SNDR_S_NB_shp
SNDR_S_NB,WD,1508,King Street Station,1,SNDR_S_NB_shp
SNDR_S_NB,WD,1510,King Street Station,1,SNDR_S_NB_shp
SNDR_S_NB,WD,1512,King Street Station,1,SNDR_S_NB_shp
SNDR_S_NB,WD,1514,King Street Station,1,SNDR_S_NB_shp
SNDR_S_NB,WD,1516,King Street Station,1,SNDR_S_NB_shp
SNDR_S_SB,WD,1501,Tacoma Dome,0,SNDR_S_SB_shp
SNDR_S_SB,WD,1503,Tacoma Dome,0,SNDR_S_SB_shp
SNDR_S_SB,WD,1505,Tacoma Dome,0,SNDR_S_SB_shp
SNDR_S_SB,WD,1507,Tacoma Dome,0,SNDR_S_SB_shp
SNDR_S_SB,WD,1509,Tacoma Dome,0,SNDR_S_SB_shp
SNDR_S_SB,WD,1511,Tacoma Dome,0,SNDR_S_SB_shp
SNDR_S_SB,WD,1513,Tacoma Dome,0,SNDR_S_SB_shp
SNDR_S_SB,WD,1515,Tacoma Dome,0,SNDR_S_SB_shp
SNDR_S_SB,WD,1517,Tacoma Dome,0,SNDR_S_SB_shp
SNDR_N_SB,WD,1701,King Street Station,1,SNDR_N_SB_shp
SNDR_N_SB,WD,1703,King Street Station,1,SNDR_N_SB_shp
SNDR_N_SB,WD,1705,King Street Station,1,SNDR_N_SB_shp
SNDR_N_SB,WD,1707,King Street Station,1,SNDR_N_SB_shp
SNDR_N_NB,WD,1700,Everett Station,0,SNDR_N_NB_shp
SNDR_N_NB,WD,1702,Everett Station,0,SNDR_N_NB_shp
SNDR_N_NB,WD,1704,Everett Station,0,SNDR_N_NB_shp
SNDR_N_NB,WD,1706,Everett Station,0,SNDR_N_NB_shp
AMTK_SB,WD,513,King Street Station,1,SNDR_N_SB_shp
AMTK_SB,WD,517,King Street Station,1,SNDR_N_SB_shp
AMTK_NB,WD,510,Everett Station,0,SNDR_N_NB_shp
AMTK_NB,WD,516,Everett Station,0,SNDR_N_NB_shp
51210,SU,C15001,Everett,1,512_N_shp
51210,SU,C15002,Everett,1,512_N_shp
51210,SU,C15003,Everett,1,512_N_shp
51210,SU,C15004,Everett,1,512_N_shp
51210,SU,C15005,Everett,1,512_N_shp
51210,SU,C15006,Everett,1,512_N_shp
51210,SU,C15007,Everett,1,512_N_shp
51210,SU,C15008,Everett,1,512_N_shp
51210,SU,C15009,Everett,1,512_N_shp
51210,SU,C15010,Everett,1,512_N_shp
51210,SU,C15011,Everett,1,512_N_shp
51210,SU,C15012,Everett,1,512_N_shp
51210,SU,C15013,Everett,1,512_N_shp
51210,SU,C15014,Everett,1,512_N_shp
51210,SU,C15015,Everett,1,512_N_shp
51210,SU,C15016,Everett,1,512_N_shp
51210,SU,C15017,Everett,1,512_N_shp
51210,SU,C15018,Everett,1,512_N_shp
51210,SU,C15019,Everett,1,512_N_shp
51210,SU,C15020,Everett,1,512_N_shp
51210,SU,C15021,Everett,1,512_N_shp
51210,SU,C15022,Everett,1,512_N_shp
51210,SU,C15023,Everett,1,512_N_shp
51210,SU,C15029,Everett,1,512_N_shp
51210,SU,C15030,Everett,1,512_N_shp
51210,SU,C15031,Everett,1,512_N_shp
51210,SU,C15032,Everett,1,512_N_shp
51210,SU,C15033,Everett,1,512_N_shp
51210,SU,C15034,Everett,1,512_N_shp
51220,SU,C15045,Seattle,0,512_S_shp
51220,SU,C15046,Seattle,0,512_S_shp
51010,WD,C25014,Everett,1,510_N_shp
51010,WD,C25015,Everett,1,510_N_shp
51010,WD,C25016,Everett,1,510_N_shp
51010,WD,C25017,Everett,1,510_N_shp
51010,WD,C25018,Everett,1,510_N_shp
51011,WD,C25019,Everett,1,51011_shp
51011,WD,C25020,Everett,1,51011_shp
51011,WD,C25021,Everett,1,51011_shp
51011,WD,C25022,Everett,1,51011_shp
51220,SU,C15047,Seattle,0,512_S_shp
51220,SU,C15048,Seattle,0,512_S_shp
51220,SU,C15049,Seattle,0,512_S_shp
51220,SU,C15050,Seattle,0,512_S_shp
51220,SU,C15051,Seattle,0,512_S_shp
51220,SU,C15052,Seattle,0,512_S_shp
51220,SU,C15053,Seattle,0,512_S_shp
51220,SU,C15054,Seattle,0,512_S_shp
51220,SU,C15055,Seattle,0,512_S_shp
51220,SU,C15056,Seattle,0,512_S_shp
51220,SU,C15057,Seattle,0,512_S_shp
51220,SU,C15058,Seattle,0,512_S_shp
51220,SU,C15059,Seattle,0,512_S_shp
51220,SU,C15060,Seattle,0,512_S_shp
51220,SU,C15061,Seattle,0,512_S_shp
51220,SU,C15062,Seattle,0,512_S_shp
51220,SU,C15063,Seattle,0,512_S_shp
51220,SU,C15064,Seattle,0,512_S_shp
51220,SU,C15065,Seattle,0,512_S_shp
51220,SU,C15066,Seattle,0,512_S_shp
51220,SU,C15067,Seattle,0,512_S_shp
51220,SU,C15068,Seattle,0,512_S_shp
51220,SU,C15069,Seattle,0,512_S_shp
51220,SU,C15070,Seattle,0,512_S_shp
51220,SU,C15071,Seattle,0,512_S_shp
51220,SU,C15072,Seattle,0,512_S_shp
51220,SU,C15073,Seattle,0,512_S_shp
51010,WD,C25001,Everett,1,510_N_shp
51010,WD,C25002,Everett,1,510_N_shp
51010,WD,C25003,Everett,1,510_N_shp
51010,WD,C25004,Everett,1,510_N_shp
51010,WD,C25005,Everett,1,510_N_shp
51010,WD,C25006,Everett,1,510_N_shp
51010,WD,C25007,Everett,1,510_N_shp
51010,WD,C25008,Everett,1,510_N_shp
51010,WD,C25009,Everett,1,510_N_shp
51010,WD,C25010,Everett,1,510_N_shp
51010,WD,C25011,Everett,1,510_N_shp
51010,WD,C25012,Everett,1,510_N_shp
51010,WD,C25013,Everett,1,510_N_shp
51011,WD,C25023,Everett,1,51011_shp
51011,WD,C25024,Everett,1,51011_shp
51011,WD,C25025,Everett,1,51011_shp
51011,WD,C25026,Everett,1,51011_shp
51011,WD,C25027,Everett,1,51011_shp
51011,WD,C25028,Everett,1,51011_shp
51011,WD,C25029,Everett,1,51011_shp
51011,WD,C25030,Everett,1,51011_shp
51011,WD,C25031,Everett,1,51011_shp
51011,WD,C25032,Everett,1,51011_shp
51011,WD,C25033,Everett,1,51011_shp
51011,WD,C25034,Everett,1,51011_shp
51010,WD,C25035,Everett,1,510_N_shp
51020,WD,C25058,Seattle,0,510_S_shp
51020,WD,C25059,Seattle,0,510_S_shp
51020,WD,C25060,Seattle,0,510_S_shp
51020,WD,C25061,Seattle,0,510_S_shp
51020,WD,C25062,Seattle,0,510_S_shp
51020,WD,C25063,Seattle,0,510_S_shp
51020,WD,C25064,Seattle,0,510_S_shp
51020,WD,C25065,Seattle,0,510_S_shp
51020,WD,C25066,Seattle,0,510_S_shp
51020,WD,C25082,Seattle,0,510_S_shp
51110,WD,C25083,Ash Way,1,511_N_shp
51110,WD,C25084,Ash Way,1,511_N_shp
51110,WD,C25085,Ash Way,1,511_N_shp
51110,WD,C25086,Ash Way,1,511_N_shp
51110,WD,C25087,Ash Way,1,511_N_shp
51210,SU,C15024,Everett,1,512_N_shp
51210,SU,C15025,Everett,1,512_N_shp
51210,SU,C15026,Everett,1,512_N_shp
51210,SU,C15027,Everett,1,512_N_shp
51210,SU,C15028,Everett,1,512_N_shp
51210,SU,C15035,Everett,1,512_N_shp
51210,SU,C15036,Everett,1,512_N_shp
51210,SU,C15037,Everett,1,512_N_shp
51210,SU,C15038,Everett,1,512_N_shp
51220,SU,C15039,Seattle,0,512_S_shp
51220,SU,C15040,Seattle,0,512_S_shp
51220,SU,C15041,Seattle,0,512_S_shp
51220,SU,C15042,Seattle,0,512_S_shp
51220,SU,C15043,Seattle,0,512_S_shp
51220,SU,C15044,Seattle,0,512_S_shp
51010,WD,C25036,Everett,1,510_N_shp
51010,WD,C25037,Everett,1,510_N_shp
51010,WD,C25038,Everett,1,510_N_shp
51010,WD,C25039,Everett,1,510_N_shp
51010,WD,C25040,Everett,1,510_N_shp
51010,WD,C25041,Everett,1,510_N_shp
51021,WD,C25042,Seattle,0,510_S_shp
51021,WD,C25043,Seattle,0,510_S_shp
51021,WD,C25044,Seattle,0,510_S_shp
51021,WD,C25045,Seattle,0,510_S_shp
51021,WD,C25046,Seattle,0,510_S_shp
51021,WD,C25047,Seattle,0,510_S_shp
51021,WD,C25048,Seattle,0,510_S_shp
51021,WD,C25049,Seattle,0,510_S_shp
51021,WD,C25050,Seattle,0,510_S_shp
51021,WD,C25051,Seattle,0,510_S_shp
51021,WD,C25052,Seattle,0,510_S_shp
